tid,tournament_name,start_date,round,table,status
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,1,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,2,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,3,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,4,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,5,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,6,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,7,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,8,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,9,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,1,10,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,1,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,2,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,3,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,4,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,5,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,6,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,7,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,8,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,9,
liga-mesao-presencial-s1-e01,Liga Mesão Presencial S1 - E01,2026-01-23,2,10,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,1,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,2,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,3,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,4,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,5,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,6,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,7,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,1,8,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,1,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,2,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,3,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,4,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,5,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,6,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,7,
liga-mesao-presencial-s1-e02,Liga Mesão Presencial S1 - E02,2026-01-30,2,8,
liga-mesao-presencial-s1-e03,Liga Mesão Presencial S1 - E03,2026-02-06,1,1,
liga-mesao-presencial-s1-e03,Liga Mesão Presencial S1 - E03,2026-02-06,1,2,
