team_name,team_key,league_points,eventos
Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,10,8
João Marmentini & Vande,joao marmentini & vande,9,8
Juliano & Mateus,juliano & mateus,8,8
Bauer & Langa,bauer & langa,8,6
Boone & Reva,boone & reva,7,8
Jorel & Martin,jorel & martin,7,8
Carlos & Cássio,carlos & cassio,6,5
Bells & Greowtty,bells & greowtty,5,4
Samuel & Thiago,samuel & thiago,5,2
Chueiry & Vicente,chueiry & vicente,4,4
Carlos & Errejota,carlos & errejota,4,3
Borini & Vicente,borini & vicente,3,4
Andressa & Carbeauty,andressa & carbeauty,3,1
Bauer & Gustavo Dias,bauer & gustavo dias,2,2
Bauer & Marcos Sartori,bauer & marcos sartori,2,1
Crothen & Erick,crothen & erick,2,1
Elder Mancini & Glaicon,elder mancini & glaicon,2,1
Erick & Rogério Nascimento,erick & rogerio nascimento,2,1
Guilherme & Vicente,guilherme & vicente,2,1
Vina & Zangas,vina & zangas,2,1
Zangalli & Zangalli pai,zangalli & zangalli pai,2,1
Andressa & Carlindo,andressa & carlindo,1,1
Andressa & Vicente,andressa & vicente,1,1
Daniel & Rodrigo,daniel & rodrigo,1,1
Dellani & Martin,dellani & martin,1,1
Erick & Fabio,erick & fabio,1,1
Erick & Glauber,erick & glauber,1,1
Fabio & Luiz,fabio & luiz,1,1
Felipe & Pinho,felipe & pinho,1,1
Felipe Familiar & Langa,felipe familiar & langa,1,1
Glauber & João Marmentini,glauber & joao marmentini,1,1
Gustavo Dias & Reva,gustavo dias & reva,1,1
Gustavo Dias & Udo,gustavo dias & udo,1,1
Marcelo & Samuel,marcelo & samuel,1,1
Marcelo F. & Renan,marcelo f & renan,1,1
Rafael Mendes & Rogério Nascimento,rafael mendes & rogerio nascimento,1,1
Reva & Samuel,reva & samuel,1,1
